circRNA Name,Disease Name,Species,miRNA validated,miRNA predicted,miRNA target,RBP validated
hsa_circ_0001824,Breast cancer,Human,,hsa-miR-627-3p hsa-miR-143-5p hsa-miR-656-3p hsa-miR-376a-5p hsa-miR-222-5p,,
hsa_circ_0001875,Breast cancer,Human,,"hsa-miR-409-3p, hsa-miR-153-3p, hsa-miR-145-5p, hsa-miR-9-5p, hsa-miR-152-3p",,
hsa_circ_0006054,Breast cancer,Human,,"hsa-miR-5001-3p, hsa-miR-718, hsa-miR-4793-3p, hsa-miR-4524a-5p, hsa-miR-513a-5p",,
hsa_circ_0004619,Breast cancer,Human,,"hsa-miR-135b-3p, hsa-miR-298, hsa-miR-485-3p, hsa-miR-182-5p, hsa-miR-593-5p",,
hsa_circ_406697,Breast cancer,Human,,"hsa-miR-6873-3p, hsa-miR-6833-3p, hsa-miR-6845-3p, hsa-miR-6742-5p, hsa-miR-100-3p",,
hsa_circ_0008717,Breast cancer,Human,miR-1271,,,
circSNX27,Hepatocellular carcinoma,Human,miR-141-3p,,,
circRNA_000839,Hepatocellular carcinoma,Human,miR-200b,,RhoA,
hsa_circ_0056288,Osteosarcoma,Human,miR-125b-5p,,,
circUBAP2,Osteosarcoma,Human,miR-143,,Bcl-2,
circRNA_100269,Gastric cancer,Human,miR-630,,,
hsa_circ_0000096,Clear cell renal cell carcinoma,Human,"miR-195-5p, miR-29a-3p, miR-29c-3p",,CDC42,
hsa_circ_0005870,Hypertension,Human,,"hsa-miR-6807-3p, hsa-miR-5095, hsa-miR-1273g-3p, hsa-miR-5096, hsa-miR-619-5p",,
hsa_circ_0004018,Hepatocellular carcinoma,Human,,"hsa-miR-30e-5p, hsa-miR-647, hsa-miR-92a-1-5p, hsa-miR-660-3p, hsa-miR-626",,
hsa_circ_0016347,Osteosarcoma,Human,mir-214,,caspase-1,
hsa_circ_0031288,Cervical carcinoma,Human,,,,HuR
hsa_circ_0002111,Papillary thyroid carcinoma,Human,,"hsa-miR-450b-5p, hsa-miR-205-3p, hsa-miR-103a-2-5p, hsa-miR-95-5p, hsa-miR-329-5p",,
hsa_circ_0004458,Papillary thyroid carcinoma,Human,,"hsa-miR-450b-5p, hsa-miR-205-3p, hsa-miR-95-5p, hsa-miR-329-5p, hsa-miR-19b-2-5p",,
hsa_circ_0015278,Papillary thyroid carcinoma,Human,,"hsa-miR-141-3p, hsa-miR-588, hsa-miR-660-3p, hsa-miR-136-5p, hsa-miR-200a-3p",,
hsa_circ_0008016,Papillary thyroid carcinoma,Human,,"hsa-miR-412-3p, hsa-miR-363-5p, hsa-miR-608, hsa-miR-564, hsa-miR-196b-3p",,
hsa_circ_0004771,Papillary thyroid carcinoma,Human,,"hsa-miR-653-5p, hsa-miR-339-5p, hsa-miR-330-5p, hsa-miR-595, hsa-miR-629-3p",,
hsa_circ_0021553,Papillary thyroid carcinoma,Human,,"hsa-miR-122-5p, hsa-miR-574-5p, hsa-miR-493-5p, hsa-miR-380-5p, hsa-miR-92a-2-5p",,
hsa_circ_0079891,Papillary thyroid carcinoma,Human,,"hsa-miR-519d-5p, hsa-miR-301a-3p, hsa-miR-611, hsa-miR-100-3p, hsa-miR-758-5p",,
hsa_circ_0067103,Papillary thyroid carcinoma,Human,,"hsa-miR-591, hsa-miR-7-5p, hsa-miR-660-5p, hsa-miR-144-5p, hsa-miR-452-3p",,
hsa_circ_0091894,Papillary thyroid carcinoma,Human,,hsa-miR-134-3p hsa-miR-149-5p hsa-miR-504-5p hsa-miR-339-5p hsa-miR-329-5p,,
hsa_circ_0092315,Papillary thyroid carcinoma,Human,,"hsa-miR-658, hsa-miR-494-3p, hsa-miR-675-5p, hsa-miR-604, hsa-miR-361-3p",,
hsa_circ_0078738,Papillary thyroid carcinoma,Human,,"hsa-miR-324-3p, hsa-miR-660-3p, hsa-miR-646, hsa-miR-214-3p, hsa-miR-628-5p",,
hsa_circ_0064557,Papillary thyroid carcinoma,Human,,"hsa-miR-1264, hsa-miR-490-3p, hsa-miR-619-3p, hsa-miR-23a-3p, hsa-miR-23b-3p",,
hsa_circ_0000516,Papillary thyroid carcinoma,Human,,"hsa-miR-18b-3p, hsa-miR-670-5p, hsa-miR-23a-5p, hsa-miR-125a-3p, hsa-miR-125b-5p",,
hsa_circ_0004846,Papillary thyroid carcinoma,Human,,"hsa-miR-148b-5p, hsa-miR-330-3p, hsa-miR-29b-1-5p, hsa-miR-646, hsa-miR-660-5p",,
hsa_circ_0003505,Papillary thyroid carcinoma,Human,,"hsa-miR-141-5p, hsa-miR-625-5p, hsa-miR-143-3p, hsa-miR-124-5p, hsa-miR-191-3p",,
hsa_circ_0081342,Papillary thyroid carcinoma,Human,,"hsa-miR-497-5p, hsa-miR-545-3p, hsa-miR-636, hsa-miR-15a-5p, hsa-miR-335-3p",,
hsa_circ_0000096,Gastric cancer,Human,,,,"cyclin D1, CDK6, MMP-2, MMP-9"
hsa_circ_0000594,Glioma,Human,miR-217,,HNF1β,
hsa_circ_0000615,Hirschsprung disease,Human,miR-150-5p,,AKT3,
cir-ITCH,Lung cancer,Human,"miR-7, miR-214",,ITCH,
hsa_circ_0041103,Bladder carcinoma,Human,"miR-103a-3p, miR-107",,CDK6,
hsa_circ_0000677,Colorectal cancer,Human,miR-145,,"E2F5, BAG4, FMNL2",
hsa_circ_0023404,Osteoarthritis,Human,miR-136,,MMP13,
circRNA_081881,Myocardial infarction,Human,miR-548,,PPARγ,
cir-ITCH,Colorectal cancer,Human,"miR-7, miR-20a, miR-214",,ITCH,
cir-ITCH,Esophageal squamous cell carcinoma,Human,"miR-17, miR-7, miR-214, miR-216b, miR-128",,ITCH,
cir-ITCH,Bladder cancer,Human,"miR-17, miR-224",,"p21, PTEN",
hsa-circRNA 2149,Nervous inflammatory diseases or immune disorders,Human,miR-7,,,
hsa_circ_0003266,Acute kidney injury,Human,,miR-126-5p,,
hsa_circ_0141539,Cervical cancer,Human,"miR-518-d-5p,miR-519-5p",,CBX8,
hsa_circ_0080145,Chronic myeloid leukemia,Human,miR-29b,,,
hsa_circ_0000284,Bladder urothelial carcinoma,Human,miR-124,,,
hsa_circ_0000284,Breast cancer,Human,miR-124,,,
hsa_circ_0000284,Colorectal cancer,Human,miR-124,,,
hsa_circ_0000284,Hepatocellular carcinoma,Human,miR-124,,,
hsa_circ_0000284,Gastric cancer,Human,miR-124,,,
hsa_circ_0000284,Clear cell renal cell carcinoma,Human,miR-124,,,
hsa_circ_0000284,Prostate adenocarcinoma,Human,miR-124,,,
hsa_circ_0088483,Thyroid cancer,Human,miR-370-3p,,FZD8,
hsa_circ_0043256,Non-small cell lung cancer,Human,miR-1252,,ITCH,
hsa_circ_0005015,Diabetic retinopathy,Human,miR-519d-3p,,"MMP-2, XIAP, STAT3",
hsa_circ_0043497,Tuberculosis,Human,,"miR-335-3p, miR-186-5p, miR-380-5p, miR-296-3p and miR-522-3p",,
hsa_circ_0030045,Tuberculosis,Human,,"miR-650, miR-605-3p, miR-876-5p, miR-526b-5p, miR-569",,
hsa_circ_0001417,Tuberculosis,Human,,"miR-298, miR-766-5p, miR-323a-5p, miR-138-5p, miR-486-3p",,
hsa_circ_0030569,Tuberculosis,Human,,"miR-30d-3p, miR-29a-5p, miR-584-3p, miR-30a-3p, miR-30e-3p",,
hsa_circ_0001204,Tuberculosis,Human,,"miR-612, miR-657, miR-362-3p, miR-377-3p, miR-136-5p",,
hsa_circ_0004372,Thoracic aortic dissection,Human,hsa-miR-320a,,MMP9,
hsa_circ_0015756,Hepatoblastoma,Human,miR-1250-3p,,,
circ-Dnmt1,Breast cancer,Human,,,,"p53, AUF1"
circRNA_036186,Head and neck squamous cell carcinoma,Human,,miR-193b-3p,14‑3‑3ζ,
circRNA-MTO1,Breast cancer,Human,,,,Eg5
circ-ITCH,Papillary thyroid carcinoma,Human,miR-22-3p,,CBL,
Circ-UBR5,Non-small cell lung cancer,Human,,,,"QKI, NOVA1"
circ_0026344,Colorectal cancer,Human,"miR-21, miR-31",,,
hsa_circRNA_103571,Tuberculosis,Human,,"hsa-miR-29b-2-5p, hsa-miR-29a-5p, hsa-miR-518c-5p, hsa-miR-214-3p, hsa-miR-16-5p",,
hsa_circRNA_091692,Tuberculosis,Human,,"hsa-miR-4529-5p, hsa-miR-876-3p, hsa-miR-4480, hsa-miR-6764-3p, hsa-miR-4685-5p",,
hsa_circRNA_102296,Tuberculosis,Human,,"hsa-miR-578, hsa-miR-429, hsa-miR-449a, hsa-miR-449b-5p, hsa-miR-34c-5p",,
hsa_circRNA_029965,Tuberculosis,Human,,"hsa-miR-4778-3p, hsa-miR-5002-5p, hsa-miR-329-5p, hsa-miR-4652-3p, hsa-miR-6781-3p",,
circHIPK3,Nasopharyngeal carcinoma,Human,miR-4288,,ELF3,
circFADS2,Non-small cell lung cancer,Human,miR-498,,,
hsa_circ_0013339,Colorectal cancer,Human,miR-516b,,FZD4,
circIRAK3,Breast cancer,Human,miR-3607,,FOXC1,
hsa_circ_0032462,Osteosarcoma,Human,hsa-miR-338-3p,,CADM1,
hsa_circ_0028173,Osteosarcoma,Human,"hsa-miR-142-5p, hsa-miR-338-3p",,CADM1,
hsa_circ_0005909,Osteosarcoma,Human,has-miR-338-3p,,CADM1,
hsa_circRNA_101981,Prostate cancer,Human,miR-145,,,
hsa_circRNA_008068,Prostate cancer,Human,miR-145,,,
hsa_circRNA_406557,Prostate cancer,Human,miR-145,,,
hsa_circRNA_101996,Prostate cancer,Human,miR-145,,,
hsa_circRNA_091420,Prostate cancer,Human,miR-145,,,
hsa_circ_0007534,Breast cancer,Human,miR-593,,MUC19,
circ-CFH,Glioma,Human,miR-149,,AKT1,
Circ-ZEB1.33,Hepatocellular carcinoma,Human,miR-200a-3p,,CDK6,
hsa_circ_0002980,Hepatocellular carcinoma,Human,,"hsa-miR-1303, hsa-miR-142-5p, hsa-miR-877-5p","AR, MYCN, IGF1, CD34",
hsa_circ_0000098,Hepatocellular carcinoma,Human,,"hsa-miR-583, hsa-miR-1276","FOXO1, ESR1, JUN, AR",
hsa_circRNA_007148,Papillary thyroid carcinoma,Human,,"hsa-miR-6785-5p, hsa-miR-1275, hsa-miR-490-3p, hsa-miR-1229-5p, hsa-miR-6088",,
hsa_circRNA_004662,Papillary thyroid carcinoma,Human,,"hsa-miR-4520-2-3p, hsa-miR-208b-5p, hsa-miR-4713-5p, hsa-miR-4659b-3p",,
hsa_circRNA_046843,Papillary thyroid carcinoma,Human,,"hsa-miR-4524a-5p, hsa-miR-4753-3p, hsa-miR-3911, hsa-miR-876-5p, hsa-miR-942-5p",,
hsa_circRNA_061346,Papillary thyroid carcinoma,Human,,"hsa-miR-4778-3p, hsa-miR-5196-3p, hsa-miR-5193, hsa-miR-877-3p, hsa-miR-103a-2-5p",,
hsa_circRNA_047771,Papillary thyroid carcinoma,Human,,"hsa-miR-522-3p, hsa-miR-224-3p, hsa-miR-4677-5p, hsa-miR-140-5p, hsa-miR-153-5p",,
hsa_circRNA_405498,Papillary thyroid carcinoma,Human,,"hsa-miR-6754-5p, hsa-miR-6812-5p, hsa-miR-5572, hsa-miR-6855-5p, hsa-miR-3612",,
hsa_circRNA_101408,Papillary thyroid carcinoma,Human,,"hsa-miR-136-5p, hsa-miR-500a-5p, hsa-miR-578, hsa-miR-34b-5p, hsa-miR-449c-5p",,
hsa_circRNA_014213,Papillary thyroid carcinoma,Human,,"hsa-miR-6812-5p, hsa-miR-6819-5p, hsa-miR-608, hsa-miR-5572, hsa-miR-5088-5p",,
hsa_circ_0000792,Lung adenocarcinoma,Human,,miR-375,,
circ-IARS,Pancreatic ductal adenocarcinoma,Human,miR-122,,RhoA,ZO-1
circRNA-000425,Gastric cancer,Human,"miR-17, miR-106",,"p21, BIM",YAP1
hsa_circ_0000177,Glioma,Human,miR-638,,FZD7,
hsa_circ_0077232,Glioblastoma,Human,miR-422a,,,
hsa_circ_0006215,Pancreatic cancer,Human,miR-378a-3p,,SERPINA4,
hsa_circ_0046264,Lung cancer,Human,hsa-miR-1245,,BRCA2,
hsa_circ_0000673,Hepatocellular carcinoma,Human,miR-767-3p,,SET,
circPVT1,Acute lymphoblastic leukemia,Human,,,,"c-Myc, Bcl-2"
hsa_circ_0000650,Chronic hepatitis B,Human,,miR-6873-3p,TGFβ2,
circ-BANP,Lung cancer,Human,miR-503,,LARP1,
circHIPK3,Age-related cataract,Human,miR-193a,,CRYAA,
hsa_circRNA_000167,Pancreatic cancer,Human,,"miR-330-5p/miR-328-3p, miR-127-5p/miR-326/miR-1296-5p",,
hsa_circRNA_101717,Pancreatic cancer,Human,,"let-7e-5p/miR-124-3p, miR-877-5p/miR-506-3p/let-7c-5p",,
hsa_circRNA_102049,Pancreatic cancer,Human,,"miR-103a-2-5p/miR-455-3p, miR-302c-3p/miR-520d-3p/miR-302-3p",,
hsa_circRNA_102051,Pancreatic cancer,Human,,"miR-302c-3p/miR-520d-3p, miR-302b-3p/miR-302d-3p/miR-197-5p",,
hsa_circRNA_102619,Pancreatic cancer,Human,,"miR-452-5p/miR-874-3p, miR-218-1-3p/miR-767-5p/miR-218-2-3p",,
hsa_circRNA_103076,Pancreatic cancer,Human,,"miR-330-3p/miR-155-5p, miR-330-5p/miR-146-3p/miR-15a-3p",,
hsa_circRNA_104084,Pancreatic cancer,Human,,"miR-644a/miR-605-3p, miR-124-3p/miR-506-3p/miR-1224-3p",,
hsa_circRNA_104270,Pancreatic cancer,Human,,"miR-450a-1-3p/miR-661, miR-493-5p/miR-208a-5p/miR-612",,
hsa_circ_0000847,Hepatocellular carcinoma,Human,miR-629,,,
cir-ITCH,Glioma,Human,miR-214,,ITCH,
circ0006916,Lung cancer,Human,miR-522-3p,,PHLPP1,TNRC6A
circRNA_100284,Carcinogenesis,Human,miR-217,,EZH2,
hsa-circ-0012129,Glioma,Human,miR-661,,,
hsa_circ_400031,Primary hepatic carcinoma,Human,,hsa-miR-483-5p,,
hsa_circ_102347,Primary hepatic carcinoma,Human,,hsa-miR-203a-5p,,
circMAN2B2,Lung cancer,Human,miR-1275,,FOXK1,
hsa_circ_0037911,Essential hypertension,Human,,"hsa-miR-637, hsa-miR-2115-5p, hsa-miR-6881-3p",,
hsa_circ_0007385,Non-small cell lung cancer,Human,miR-181,,,
hsa_circ_0036877,Preeclampsia,Human,,"miR-519d-3p, miR-15b-5p",,
hsa_circRNA_103827,Lung squamous cell carcinoma,Human,,"hsa-miR-411-5p, hsa-miR-625-3p, hsa-miR-129-5p, hsa-miR-205-5p, hsa-miR-532-5p",,
hsa_circRNA_103829,Lung squamous cell carcinoma,Human,,"hsa-miR-625-3p, hsa-miR-129-5p, hsa-miR-532-5p, hsa-miR-548c-3p, hsa-let-7c-5p",,
hsa_circRNA_026195,Lung squamous cell carcinoma,Human,,"hsa-miR-129-5p, hsa-miR-1183, hsa-miR-616-3p, hsa-miR-5197-3p, hsa-miR-6833-3p",,
hsa_circRNA_104852,Lung squamous cell carcinoma,Human,,"hsa-miR-138-5p, hsa-miR-325, hsa-miR-593-3p, hsa-miR-512-3p, hsa-miR-766-5p",,
hsa_circRNA_103565,Lung squamous cell carcinoma,Human,,"hsa-miR-627-3p, hsa-miR-138-5p, hsa-miR-155-3p, hsa-miR-653-5p, hsa-miR-651-3p",,
hsa_circRNA_103831,Lung squamous cell carcinoma,Human,,"hsa-miR-625-3p, hsa-miR-129-5p, hsa-miR-548c-3p, hsa-let-7c-5p, hsa-let-7b-5p",,
hsa_circRNA_000122,Lung squamous cell carcinoma,Human,,"hsa-miR-627-3p, hsa-miR-510-5p, hsa-miR-552-3p, hsa-miR-4695-3p, hsa-miR-503-3p",,
hsa_circRNA_102878,Lung squamous cell carcinoma,Human,,"hsa-miR-335-3p, hsa-miR-130b-5p, hsa-miR-302b-5p, hsa-miR-329-5p, hsa-miR-627-3p",,
hsa_circRNA_002131,Lung squamous cell carcinoma,Human,,"hsa-miR-136-5p, hsa-miR-627-3p, hsa-miR-942-5p, hsa-miR-6500-5p, hsa-miR-5003-3p",,
hsa_circRNA_102556,Lung squamous cell carcinoma,Human,,"hsa-miR-764, hsa-miR-346, hsa-miR-584-3p, hsa-miR-654-3p, hsa-miR-766-5p",,
circ-Foxo3,Non-small cell lung cancer,Human,miR-155,,FOXO3,
hsa_circ_0092374,Systemic lupus erythematosus,Human,,"hsa-miR-296-3p, hsa-miR-146b-3p, hsa-miR-181d-3p, hsa-miR-504-3p, hsa-miR-328-5p",,
hsa_circ_0003146,Systemic lupus erythematosus,Human,,"hsa-miR-766-3p, hsa-miR-762, hsa-miR-412-3p, hsa-let-7i-3p, hsa-miR-431-3p",,
hsa_circ_0034398,Systemic lupus erythematosus,Human,,"hsa-miR-136-5p, hsa-miR-665, hsa-miR-486-3p, hsa-miR-601, hsa-miR-30b-3p",,
hsa_circ_0046599,Systemic lupus erythematosus,Human,,"hsa-miR-138-5p, hsa-miR-145-3p, hsa-miR-24-3p, hsa-miR-620, hsa-miR-875-3p",,
circ-SHKBP1,Glioma,Human,"miR-544a, miR-379",,"FOXP1, FOXP2",
hsa_circ_0046701,Glioma,Human,miR-142-3p,,ITGB8,
hsa_circ_100721,Oral squamous cell carcinoma,Human,miR‑196a‑5p,,BIRC3,
hsa_circ_0012673,Lung adenocarcinoma,Human,miR-22,,ErbB3,
hsa_circ_0000520,Gastric carcinoma,Human,,"miR-556-5p, hsa-miR-521, hsa-miR-1204, hsa-miR-146b-3p, hsa-miR-512-5p, hsa-miR-663b, hsa-miR-1258, hsa-miR-1233, hsa-miR-1296",,
hsa_circ_0001859,Rheumatoid arthritis,Human,"miR-204,miR-211",,ATF2,
circ-ZFR,Gastric cancer,Human,"miR-130a, miR-107",,PTEN,
hsa_circ_0046366,Hepatic steatosis,Human,miR-34a,,PPARα,
hsa_circ_0023984,Infantile hemangioma,Human,,"miR-1298-3p, miR-892b, miR-2113, and miR-137, miR-514a-5p",,
hsa_circ_0079385,Infantile hemangioma,Human,,"miR-499a-3p, miR-1271-3p, miR-216a-3p, miR-197-3p, and miR-489-3p",,
hsa_circ_0001564,Osteosarcoma,Human,miR-29c-3p,,,
hsa_circ_0014717,Colorectal cancer,Human,,,,p16
hsa_circ_0014130,Non-small cell lung cancer,Human,,"hsa-miR-892a, hsa-miR-216a-3p, hsa-miR-302c-3p, hsa-miR-493-5p, hsa-miR-200c-5p",,
hsa_circ_0016760,Non-small cell lung cancer,Human,,"hsa-miR-646, hsa-miR-625-5p, hsa-miR-29b-1-5p, hsa-miR-129-5p, hsa-miR-424-5p",,
circRNA-000911,Breast cancer,Human,miR-449a,,Notch1,
circHLA-C,Lupus nephritis,Human,miR-150,,,
hsa_circ_0005075,Hepatocellular carcinoma,Human,miR-431,,,
circHECTD1,Silicosis,Human,,,,HECTD1
hsa_circ_0067934,Hepatocellular carcinoma,Human,miR-1324,,FZD5,
hsa_circ_0067934,Lung adenocarcinoma,Human,"miR-545, miR-589",,E2F7,
hsa_circ_0009910,Osteosarcoma,Human,miR-449a,,IL6R,
hsa_circ_0011946,Breast cancer,Human,,"miR-26a, miR-26b",RFC3,
hsa_circ_0045272,Systemic lupus erythematosus,Human,hsa-miR-6127,,,
hsa_circ_0072995,Breast cancer,Human,miR-30c-2-3p,,,
hsa_circ_0002052,Osteosarcoma,Human,miR-1205,,APC2,
hsa_circ_0014130,Non-small cell lung cancer,Human,miR-1287,,GAGE1,
hsa_circ_0102722,Bladder cancer,Human,miR-145-5p,,SOX11,
circRNA_0084043,Melanoma,Human,miR-153-3p,,Snail,
hsa_circ_0008039,Breast cancer,Human,miR-432-5p,,E2F3,
hsa_circ_0000479,Triple negative breast cancer,Human,"miR-4753, miR-6809",,BCL11A,
CircNFIX,Glioma,Human,miR-34a-5p,,NOTCH1,
hsa_circ_0001649,Non-small cell lung cancer,Human,"miR-331-3p, miR-338-5p",,,
hsa_circ_0010090,Hepatocellular carcinoma,Human,miR-346,,,
hsa_circ_0000488,Acute myeloid leukemia,Human,hsa-miR-496,,PRKACB,
CircRNA_104670,Intervertebral disc degeneration,Human,miR-17-3p,,MMP-2,
hsa_circ_0002623,Bladder cancer,Human,miR-605-3p,,VANGL1,
hsa_circ_0000677,Hepatocellular carcinoma,Human,"miR-411-5p, miR-432-5p",,,
hsa_circ_0000144,Bladder cancer,Human,miR-217,,RUNX2,
hsa_circ_0103809,Hepatocellular carcinoma,Human,miR-490-5p,,SOX2,
hsa_circ_0016788,Hepatocellular carcinoma,Human,miR-486,,CDK4,
hsa_circRNA_103809,Lung cancer,Human,miR-4302,,ZNF121,
hsa_circ_0077179,Systemic lupus erythematosus,Human,miR-29b,,,
hsa_circ_0092340,Osteosarcoma,Human,miR-1253,,FOXF1,
circRBM23,Hepatocellular carcinoma,Human,miR-138,,"vimentin, CCND3",
hsa_circ_0000896,Non-small cell lung cancer,Human,,"miR-330-5p, miR-326",,
circC3P1,Hepatocellular carcinoma,Human,miR-4641,,PCK1,
hsa_circ_0007534,Glioma,Human,miR-761,,ZIC5,
hsa_circ_0000615,Diabetic retinopathy,Human,miR-615-5p,,MEF2A,
hsa_circ_0000615,Hypertension,Human,miR-615-5p,,MEF2A,
hsa_circ_0000615,Coronary artery disease,Human,miR-615-5p,,MEF2A,
hsa_circ_0000615,Vascular endothelial dysfunction,Human,miR-615-5p,,MEF2A,
circ-Ccnb1,Breast carcinoma,Human,,,,H2AX
hsa_circ_0066444,Gastric cancer,Human,,"miR-1282, miR-1243, miR-1178, miR-638, miR-451",,
hsa_circ_0000268,Glaucoma,Human,miR-217,,RUNX2,
hsa_circ_0001346,Lung adenocarcinoma,Human,miR-93-5p,,Ago2,Ago2
hsa_circ_0000426,Clear cell renal cell carcinoma,Human,miR-204-3p,,FN1,ATP2B1
circDLGAP4,Ischemic stroke,Human,miR-143,,,
hsa_circ_0001577,Bladder cancer,Human,miR-101,,EZH2,
hsa_circ_0075001,Acute myeloid leukemia,Human,,,,NPM1
hsa_circ_0091702,Intervertebral disc degeneration,Human,miR-200c,,XIAP,
hsa_circ_0000284,Gallbladder cancer,Human,miR-124,,"ROCK1, CDK6",
hsa_circ_0000284,Gastric cancer,Human,"miR-124, miR-29b",,,
circHIPK3,Glioma,Human,miR-654,,IGF2BP3,
hsa_circ_0000284,Colorectal cancer,Human,miR-7,,"FAK, IGF1R, EGFR, YY1",
hsa_circ_0000284,Hepatocellular carcinoma,Human,miR-124,,AQP3,
hsa_circ_0000284,Diabetes mellitus,Human,miR-30a-3p,,"FZD4, WNT2",
circHIPK3,Retinal vascular dysfunction,Human,miR-30a-3p,,VEGFC; FZD4; WNT2,
hsa_circ_0000284,Bladder cancer,Human,miR-558,,HPSE,
hsa_circ_0000284,Non-small cell lung cancer,Human,miR-379,,IGF1,
hsa_circ_0000707,Chronic lymphocytic leukemia,Human,miR-607,,FZD3,
hsa_circ_0072088,Papillary thyroid carcinoma,Human,miR-1261,,C8orf4,
hsa_circ_0015278,Lung cancer,Human,miR-1228,,TCF21,
hsa_circ_0000907,Breast cancer,Human,miR-4316,,FOXP4,
