circRNA,disease
circ-SKA3,Medulloblastoma
circVRK1,Preeclampsia
circTP53,Thyroid cancer
CircAGFG1,Colorectal cancer
circRNF13,Acute myeloid leukemia
Circ_0056285,Osteosarcoma
hsa_circ_0070963,Liver fibrosis
hsa_circ_0113656,Human aortic smooth muscle cell
circ_0079593,Glioma
circAP2A2,Infantile hemangioma
hsa_circ_0023404,Osteoarthritis
CircDLC1,Hepatocellular carcinoma
cZNF609,Glioma
circ-DLGAP4,Acute ischemic stroke
hsa_circ_0016070,Pulmonary arterial hypertension
hsa_circ_0086375,Pancreatic cancer
circARHGAP10,Non-small cell lung cancer
circ_0071662,Bladder cancer
hsa_circ_0002194,Inflammatory response
hsa_circ_0081519,Glioma
hsa_circ_0002755,Glioma
circRUNX1,Papillary thyroid carcinoma
hsa_circ_0102722,Bladder cancer
hsa_circ_0003489,Multiple myeloma
circ-ERBB2,Gastric cancer
hsa_circ_0017639,Gastric cancer
hsa_circ_0001178,Colorectal cancer
circRNA_000543,Nasopharyngeal carcinoma
circFOXM1,Hepatocellular carcinoma
CircATP2B4,Pulmonary arterial hypertension
hsa_circ_0000426,Clear cell renal cell carcinoma
circ-LARP4,Osteosarcoma
circ_0007142,Intracranial aneurysm
hsa_circ_0051079,Osteosarcoma
circNRIP1,Renal cell carcinoma
hsa_circ_0132876,Diabetic cataract
circ‑CCT3,Hepatocellular carcinoma
hsa_circ_0089762,Chronic lymphocytic leukemia
hsa_circ_0004372,Thoracic aortic dissection
circZFR,Non-small cell lung cancer
circRNA-000425,Gastric cancer
hsa_circ_0060060,Papillary thyroid carcinoma
hsa_circ_0000512,Colorectal cancer
hsa_circ_0043469,Adrenocortical carcinoma
hsa_circ_0139402,Cholangiocarcinoma
circPDSS1,Gastric cancer
cZNF292,Liver cancer
hsa_circ_0076248,Glioma
CircNFIX,Glioma
circ-ZDHHC5,Esophageal squamous cell carcinoma
hsa_circ_0001421,Non-small cell lung cancer
circPDE5A,Neuroblastoma
hsa_circ_0003738,Psoriasis
hsa_circ_0055538,Oral squamous cell carcinoma
circFAM73A,Gastric cancer
circVAPA ,Retinoblastoma
hsa_circ_0005320,Oral mucosal melanoma
hsa_circ_0029853,Idiopathic pulmonary fibrosis
circRNA-103809,Hepatocellular carcinoma
circHIF1A,Triple negative breast cancer
circRNA CBL.11,Colorectal cancer
circ_0007059,Lung cancer
hsa_circ_101141,Hepatocellular carcinoma
hsa_circ_0033074,Nasopharyngeal carcinoma
circRNA-CDR1as,Osteoarthritis
Circ‑TOP2A,Glioma
Circ-FOXM1,Non-small cell lung cancer
hsa_circ_0001543,Bladder cancer
circ_0095812,Glioma
circMYO10,Osteosarcoma
hsa_circ_0036722,Hypopharyngeal squamous cell carcinoma
circ_0001204,Tuberculosis
hsa_circ_0113689,Osteogenesis
hsa_circ_0020123,Non-small cell lung cancer
hsa_circ_0023028,Laryngeal cancer
circ-LAMP1,T-cell lymphoblastic lymphoma
hsa_circ_0006848,Gastric cancer
hsa_circ_0000199,Gastric cancer
hsa_circ_0075370,Congenital heart disease
hsa_circ_0004587,Inflammation
circ_0091581,Hepatocellular carcinoma
hsa_circ_0003028,Bladder cancer
hsa_circ_0002082,Hepatocellular carcinoma
hsa_circ_0000523,Colorectal cancer
circ_0001971,Oral squamous cell carcinoma
hsa_circ_0089548,Gastric cancer
hsa_circ_0005035,Lung cancer
hsa_circ_0035483,Clear cell renal cell carcinoma
circ-TIMP2,Intervertebral disc degeneration
hsa_circ_0052112,Breast cancer
CircSMYD4,Hepatocellular carcinoma
hsa_circ_0137439,Bladder cancer
circ_0017247,Melanoma
hsa_circ_0133159,Glioma
circZNF566,Hepatocellular carcinoma
circ_LARP4,Ovarian cancer
hsa_circ_0043497,Tuberculosis
circ_0034642,Glioma
hsa_circ_0015278,Papillary thyroid carcinoma
hsa_circ_0081342,Papillary thyroid carcinoma
hsa_circ_0001953,Tuberculosis
CircAGAP1,Clear cell renal cell carcinoma
hsa_circ_0027345,Hepatocellular carcinoma
hsa_circ_0000419,Ovarian endometriosis
Has_circRPPH_015,Breast cancer
hsa_circ_0106714,Colorectal cancer
hsa_circ_0030045,Tuberculosis
circNFIX,Non-small cell lung cancer
hsa_circ_0006282,Gastric cancer
circMYLK,Laryngeal squamous cell carcinoma
hsa_circ_0088483,Thyroid cancer
circ_0015756,Hepatoblastoma
hsa_circ_0043265,Non-small cell lung cancer
hsa_circ_0004104,Gastric cancer
hsa_circ_0126991,Essential hypertension
circAMOTL1L,Prostate cancer
hsa_circ_0005909,Osteosarcoma
circ_0000326,Lung adenocarcinoma
hsa_circ_0009143,Cervical cancer
hsa_circ_0016347,Osteosarcoma
hsa_circ_0005027,Hypopharyngeal carcinoma
hsa_circ_0076704,Bladder cancer
CircKIF2A,Neuroblastoma
hsa_circ_0046366,Hepatic steatosis
hsa_circ_0004277,Colorectal cancer
hsa_circ_0087784,Breast cancer
hsa_circ_000425,Colorectal cancer
hsa_circ_0023302,Non-small cell lung cancer
hsa_circ_0039411,Hepatocellular carcinoma
hsa_circ_0003496,Osteosarcoma
circ_0026344,Colorectal cancer
hsa_circ_0141940,Prostate cancer
circPARP4,Glioma
hsa_circ_0015756,Hepatoblastoma
hsa_circ_0088196,Preeclampsia
hsa_circ_0009112,Osteosarcoma
hsa_circ_0007031,Colorectal cancer
circFOXK2,Pancreatic ductal adenocarcinoma
hsa_circ_0082003,Non-small cell lung cancer
circRNA_103516,Inflammatory bowel disease
hsa_circ_0010283,Atherosclerosis
circRBM33,Cervical cancer
hsa_circ_0006156,Bladder cancer
hsa_circ_0000735,Non-small cell lung cancer
Circ_0035483,Renal cell carcinoma
hsa_circ_0000658,Osteosarcoma
hsa_Circ_0007841,Multiple myeloma
hsa_circ_0092340,Osteosarcoma
circRNA_100290,Laryngeal squamous cell carcinoma
circRNA_100269,Gastric cancer
hsa_circ_0002185,Oral squamous cell carcinoma
hsa_circ_0090956,Glioma
circRNA-MTO1,Breast cancer
circCDYL,Bladder cancer
hsa_circ_0092374,Systemic lupus erythematosus
hsa_circ_0088233,Prostate cancer
hsa_circ_0075828,Bladder cancer
circ-XPO1,Osteosarcoma
CircTM7SF3,Atherosclerosis
circASAP1,Hepatocellular carcinoma
circRNA-FoxO1,Myopia
circErbB4,Vascular disease
circEIF6,Pancreatic cancer
hsa_circ_0038632,Triple negative breast cancer
hsa_circ_0060144,Cholangiocarcinoma
hsa_circ_0001667,Breast cancer
hsa_circ_0006393,Osteogenesis
hsa_circ_0085154,Hepatocellular carcinoma
hsa_circ_0058106,Hypopharyngeal squamous cell carcinoma
circPOSTN,Glioma
circKRT7,Ovarian cancer
hsa_circ_0102231,Non-small cell lung cancer
circ_DOCK1,Colorectal cancer
hsa_circ_0132813,Neuroblastoma
circPostn,Myocardial injury
circ_SEPT9,Oral squamous cell carcinoma
hsa_circ_0009024,Tuberculosis
hsa_circ_0092509,Osteosarcoma
circ-CSPP1,Hepatocellular carcinoma
circRNA_104075,Hepatocellular carcinoma
circ102049,Colorectal cancer
circATXN7,Gastric cancer
circFANCA,Sepsis
Circ-MBOAT2,Pancreatic cancer
circNEK9,Gastric cancer
circ_0006404,Prostate cancer
circ_0000231,Colorectal cancer
hsa_circ_0001189,Hypopharyngeal squamous cell carcinoma
circ-TTBK2,Glioma
hsa_circ_0068033,Breast cancer
circUBAP2,Lung cancer
circCRAMP1L ,Preeclampsia
hsa_circ_0061140,Ovarian cancer
Circ-ZEB1.33,Hepatocellular carcinoma
circRNA_100395,Gastric cancer
hsa_circ_0008934,Osteosarcoma
circ_0023642,Bladder cancer
circROBO2,Acute myocardial infarction
hsa_circ_0008898,Oral squamous cell carcinoma
hsa_circ_0131235,Alzheimer's disease
hsa_circ_0000320,Triple negative breast cancer
CircFOXP1,Osteoporosis
hsa_circ_0023303,Laryngeal squamous cell carcinoma
CircADAMTS6,Chondrocyte apoptosis
hsa_circ_0005615,Cervical cancer
hsa_circ_406697,Breast cancer
hsa_circ_0002260,Hypopharyngeal squamous cell carcinoma
circTADA2A,Breast cancer
hsa_circ_0033079,Glioma
hsa_circ_0003505,Papillary thyroid carcinoma
CircCDKN2B-AS1,Cervical cancer
Circ-ZNF652,Hepatocellular carcinoma
hsa_circ_0000520,Gastric carcinoma
hsa_circ_0000527,Retinoblastoma
hsa_circ_0037251,Glioma
hsa_circ_0001944,Breast carcinoma
circTRAPPC6B,Tuberculosis
Circ_0093887,Atherosclerosis
hsa_circ_0073237,Glioma
hsa_circ_0032627,Gastric cancer
hsa_circ_0021977,Colorectal cancer
hsa_circ_0028883,Tuberculosis
circ_0057558,Prostate cancer
CircDENND2A,Non-small cell lung cancer
hsa_circ_0013509,Cardiovascular disease
circCUX1,Neuroblastoma
hsa_circ_0023706,Radiation-induced liver disease
Circ_0025033,Ovarian cancer
circNOLC1,Prostate cancer
hsa_circ_0004442,Renal cell carcinoma
hsa_circ_0020397,Colorectal cancer
circ_0005230,Breast cancer
circ-0004136,Acute myeloid leukemia
circ_0001658,Osteosarcoma
circZNF652,Pneumonia
Circ-MEMO1,Non-small cell lung cancer
hsa_circ_0025508,Hepatocellular carcinoma
circBICD2,Oral squamous cell carcinoma
hsa_circ_0061868,Glioma
hsa_circ_0004058,Age-related cataract
circOMA1,Nonfunctioning pituitary adenomas
hsa_circ_0045272,Systemic lupus erythematosus
circ-FBXW7,Colorectal cancer
hsa_circ_0007255,Triple negative breast cancer
circRNA_101237,Non-small cell lung cancer
hsa_circ_0007444,Gastric cancer
circ-TCF4.85,Hepatocellular carcinoma
hsa_circ_0002577,Endometrial carcinoma
circ_0058063,Bladder cancer
hsa_circ_0002162,Tongue squamous cell carcinoma
circSCAR ,Nonalcoholic steatohepatitis
circ_0000467,Gastric cancer
circSCAF11,Glioma
hsa_circ_0088227,Preeclampsia
hsa_circ_0009109,Gastric cancer
circ_0072088,Papillary thyroid carcinoma
hsa_circ_0002111,Papillary thyroid carcinoma
hsa_circ_0092221,Intervertebral disc degeneration
hsa_circ_0010729,Angiogenesis
hsa_circ_0043634,Non-small cell lung cancer
hsa_circ_0019340,Epithelial ovarian cancer
circCRIM1 ,Osteosarcoma
CircHECTD1,Hepatocellular carcinoma
circPRKCB,Ischemia reperfusion injury
hsa_circ_0006168,Esophageal squamous cell carcinoma
circGFRA1,Ovarian cancer
circITCH,Prostate cancer
cTFRC,Bladder carcinoma
hsa_circ_0004771,Breast cancer
hsa_circ_0001449,Cerebral ischemia
hsa_circ_0057799 ,Endometriosis
hsa_circ_0084003,Non-small cell lung cancer
hsa_circ_0070934,Cutaneous squamous cell carcinoma
has_circ_0012129,Glioma
circ-RNF13,Hepatocellular carcinoma
circ_0091579,Hepatocellular carcinoma
hsa_circ_0003391,Alzheimer's disease
CircFLNA,Gastric cancer
circTHBS1,Non-small cell lung cancer
hsa_circ_0044520,Laryngeal squamous cell carcinoma
circXPO1,Lung adenocarcinoma
Circ_0061012,Psoriasis
circ_0032462,Osteosarcoma
circPUM1,Lung adenocarcinoma
Circ_0015756,Ovarian cancer
hsa_circ_0001386,Clear cell renal cell carcinoma
circRNA_001937,Cutaneous squamous cell carcinoma
Hsa_circ_0025202,Breast cancer
hsa_circ_0008532,Bladder cancer
hsa_circ_0023642,Bladder cancer
hsa_circ_0100129,Cervical cancer
hsa_circ_0024108,Hypopharyngeal squamous cell carcinoma
circRNA_100782,Pancreatic ductal adenocarcinoma
hsa_circ_0091894,Papillary thyroid carcinoma
circ_0002483,Non-small cell lung cancer
circPSMC3,Gastric cancer
CircHIPK3,Clear cell renal cell carcinoma
hsa_circ_0011780,Non-small cell lung cancer
Circular PVT1,Ovarian cancer
hsa_circ_0003594,Alzheimer's disease
CircPRTM5,Colorectal cancer
hsa_circ_0003949,Glioma
hsa_circ_0047905,Gastric cancer
CircPIP5K1A,Glioma
hsa_circ_0001162,Glioblastoma
hsa_circ_0007059,Lung cancer
hsa_circ_0008274,Cholangiocarcinoma
hsa_circ_0005728,Triple negative breast cancer
circ_0092314,Pancreatic cancer
circRNA-SORE,Hepatocellular carcinoma
CircVCAN,Osteoarthritis
CircTP53,Thyroid cancer
circ_0000511,Breast cancer
circ-Dnmt1,Breast cancer
CircDDX17,Colorectal cancer
hsa_circ_0027599,Gastric cancer
circ-TRPS1,Prostate cancer
circPHIP,Oral squamous cell carcinoma
hsa_circ_0021086,Aortic valve calcification
hsa_circ_0002211,Colorectal cancer
circRNA-51217,Prostate cancer
circRNA-9119,Osteoarthritis
hsa_circ_0136666,Colorectal cancer
circ_0057553,Prostate cancer
circCRIM1,Lung adenocarcinoma
circST6GALNAC6,Bladder cancer
hsa_circ_0000408,Lung squamous cell carcinoma
circ_0032833,Colorectal cancer
chr7:154954255-154998784+,Pancreatic cancer
circFBXW7,Lung adenocarcinoma
hsa_circ_0128533,Uveal melanoma
hsa_circ_0078602,Hepatocellular carcinoma
hsa_circ_0001038,Cervical cancer
hsa_circ_0057576,Coronary artery disease
hsa_circ_0002168,Abdominal aortic aneurysm
hsa_circ_0002375,Nasopharyngeal carcinoma
hsa_circ_0008602,Prostate cancer
hsa_circ_0043800,Hepatoblastoma
circ_101238,Keloid
circCNOT6L,Esophageal squamous cell carcinoma
hsa_circ_0001649,Non-small cell lung cancer
hsa_circ_0001073,Bladder cancer
circ_0001368,Gastric cancer
circPHC3,Ischemic stroke
hsa_circ_0001946,Esophageal squamous cell carcinoma
circRNA-ACAP2,Colon cancer
hsa_circ_0132246,Bladder cancer
circ-PRKDC,Colorectal cancer
hsa_circ_0029633,Idiopathic pulmonary fibrosis
Circ-HIPK3,Oral squamous cell carcinoma
hsa_circ_0119873,Uveal melanoma
circ-HIPK3,Cervical cancer
hsa_circ_0074169,Colon cancer
hsa_circ_0000848,Fetal growth restriction
hsa_circ_0005230,Cholangiocarcinoma
hsa_circ_0008549,Gastric cancer
circ_0000338,Colorectal cancer
circ-CBFB,Liver injury
hsa_circ_0001681,Papillary thyroid carcinoma
hsa_circ_0000442,Breast cancer
hsa_circ_0023990,Colorectal cancer
CircWHSC1 ,Hepatocellular carcinoma
hsa_circ_0013958,Lung adenocarcinoma
circ5615,Colorectal cancer
circEIF3K,Salpingitis
circTP63,Hepatocellular carcinoma
hsa_circ_0001451,Triple negative breast cancer
hsa_circ_0072088,Papillary thyroid carcinoma
circ-PRMT5,Gastric cancer
circ-OGDH,Esophageal squamous cell carcinoma
hsa_circ_0027089,Hepatocellular carcinoma
ciRS-126,Polycystic ovary syndrome
circCBFB,Abdominal aortic aneurysm
hsa_circ_0124644,Atherosclerosis
hsa_circ_0101308,Cervical cancer
circMAP2K4,Hepatocellular carcinoma
hsa_circ_0056836,Hepatocellular carcinoma
Circ-KRT6C,Colorectal cancer
Circ_0136474,Osteoarthritis
hsa_circ_0103232,Uveal melanoma
circSCMH1,Acute ischemic stroke
hsa_circ_0000177,Glioma
hsa_circ_0001380,Bladder cancer
hsa_circ_0101802,Colorectal cancer
hsa_circ_0060450,Type 1 diabetes mellitus
hsa_circ_0062426,Atrial fibrillation
hsa_circ_0058063,Bladder cancer
circ_0007766,Lung adenocarcinoma
hsa_circRPPH1_015,Breast cancer
hsa_circ_0067512,Lung adenocarcinoma
hsa_circ_0000977,Colorectal cancer
hsa_circ_0006215,Pancreatic cancer
hsa_circ_0001313,Colon cancer
circZFP57,Prostate cancer
Circ-CSPP1,Hepatocellular carcinoma
hsa_circ_0029589,Atherosclerosis
CircRIMS,Gastric cancer
hsa_circ_0102958,Ovarian cancer
hsa_circ_0000792,Lung adenocarcinoma
hsa_circ_0034803,Gastric cancer
hsa_circ_0007534,Breast cancer
hsa_circ_0001192,Renal cell carcinoma
circ_0000003,Non-small cell lung cancer
circPTK2,Hepatocellular carcinoma
hsa_circ_0005015,Diabetic retinopathy
circTRAF3,Nasopharyngeal carcinoma
circRNA-SMG1.72,Hepatocellular carcinoma
hsa_circ_0061656,Pressure ulcer
hsa_circ_0054657,Intervertebral disc degeneration
circANKS1B,Prostate cancer
hsa_circ_0000284,Bladder urothelial carcinoma
circCDR1as,Non-small cell lung cancer
hsa_circ_0045714,Osteoarthritis
hsa_circ_0001839,Breast cancer
CircSKA3,Medulloblastoma
hsa_circ_0024097,Osteoporosis
CircPUM1,Clear cell renal cell carcinoma
circ_0028171,Osteosarcoma
hsa_circ_0000745,Gastric cancer
circ-ACACA,Non-small cell lung cancer
hsa_circ_0001577,Bladder cancer
circMTO1,Bladder cancer
circ-PITX1,Non-small cell lung cancer
hsa_circ_0019456,Hepatocellular carcinoma
circ-ATAD1,Gastric cancer
hsa_circ_0006057,Diabetic cataract
circ-ITGA7,Colorectal cancer
circ-HIPK2,Acute promyelocytic leukemia
circ_0062491,Periodontitis
hsa_circ_0006117,Non-small cell lung cancer
cricRNA-SIPA1L1 ,Osteogenesis
circRNA_0048211,Postmenopausal osteoporosis
circ-ARL3,Hepatitis B
hsa_circ_0006732,Preeclampsia
circ_0037655,Glioma
hsa_circ_0005075,Hepatocellular carcinoma
hsa_circ_400068,Renal cell carcinoma
hsa_circ_0109320,Non-small cell lung cancer
hsa_circ_0079662,Colorectal cancer
circRNA_0000638,Inflammation
hsa_circ_0003159,Gastric cancer
hsa_circ_0011269,Osteoporosis
circRNA_100367,Esophageal squamous cell carcinoma
CircZNF609,Nasopharyngeal carcinoma
hsa_circ_0125597,Breast cancer
hsa_circ_0006528,Breast cancer
circ_0071589,Colorectal cancer
hsa_circ_0068888,Acute kidney injury
ITCH,Lung cancer
circCCDC66,Non-small cell lung cancer
hsa_circ_0068942,Coronary artery disease
circ_0000215 ,Glioma
circLMO7,Gastric cancer
circPLK1,Breast cancer
hsa_circ_0091074,Triple negative breast cancer
hsa_circ_0091581,Hepatocellular carcinoma
circLMTK2,Prostate cancer
hsa_circ_0079586,Glioma
circ-AFF2,Rheumatoid arthritis
hsa_circ_0000740,Clear cell renal cell carcinoma
circ-ADAM9,Pancreatic cancer
Circ_ASAP2,Gastric cancer
hsa_circ_0069234,Intervertebral disc degeneration
circRNA_0016418,Skin melanoma
hsa_circ_0007121,Preeclampsia
hsa_circ_0088036,Rheumatoid arthritis
ciRS-7,Atherosclerosis
Circ_100984,Bladder cancer
circ9119,Ovarian cancer
CircNR3C2,Breast cancer
hsa_circ_0019421,Glioblastoma
hsa_circ_0006109,Atrial fibrillation
hsa_circ_0001240,Atrial fibrillation
hsa_circ_0001875,Breast cancer
hsa_circ_100721,Oral squamous cell carcinoma
circMDM2,Oral squamous cell carcinoma
circDENND4C,Breast cancer
hsa_circ_0039388,Essential hypertension
hsa_circ_0004458,Papillary thyroid carcinoma
hsa_circ_0018289,Cervical cancer
circSNX27,Hepatocellular carcinoma
circVEGFC,Diabetes mellitus
hsa_circ_0070401,Oral squamous cell carcinoma
circ_SLC30A7,Oral squamous cell carcinoma
circPTCH1,Renal cell carcinoma
hsa_circ_402458,Primary biliary cirrhosis
hsa_circ_0033144,Intracranial aneurysm
hsa_circ_0006101,Osteosarcoma
hsa_circ_0068655,Myocardial infarction
circPCNX,Clear cell renal cell carcinoma
hsa_circ_0026231,Esophageal squamous cell carcinoma
hsa_circ_0002024,Bladder cancer
hsa_circ_0062558,Breast cancer
circ-ZNF609,Nasopharyngeal carcinoma
hsa_circ_0007142,Intracranial aneurysm
circEHMT1,Breast cancer
cDENND4C,Breast cancer
circ_NOTCH3,Breast Carcinoma
hsa_circ_0000231,Colorectal cancer
hsa_circ_0009361,Colorectal cancer
hsa_circ_0000140,Oral squamous cell carcinoma
circ0006916,Lung cancer
hsa_circ_0005571,Intracranial aneurysm
hsa_circ_0031250,Non-small cell lung cancer
circ-ZFR,Gastric cancer
hsa_circ_0026359,Gastric cancer
circ_0001178,Hepatocellular carcinoma
hsa_circ_0089552,Non-small cell lung cancer
circANKRD36,Bedsore
hsa_circ_0141539,Cervical cancer
hsa_circ_0000869,Oral mucosal melanoma
hsa_circ_0007843,Colon cancer
hsa_circ_0060180,Parkinson's disease
circ-GRB10,Intervertebral disc degeneration
Circ_100565,Lung cancer
hsa_circ_0078738,Papillary thyroid carcinoma
hsa_circ_0000105,Liver cancer
circ-FARSA,Colorectal cancer
hsa_circ_0043256,Non-small cell lung cancer
circ_0008193,Lung adenocarcinoma
hsa_circ_0012919,Systemic lupus erythematosus
circAFF2,Gastric cancer
circ_0060745,Colorectal cancer
hsa_circ_0000994,Bladder cancer
hsa_circ_0087378,Breast cancer
circ_0016788,Hepatocellular carcinoma
circ_0000735,Non-small cell lung cancer
hsa_circ_0142527,Colorectal cancer
hsa_circ_0000080,Glioma
hsa_circ_0000013,Lung adenocarcinoma
circRNA_000839,Hepatocellular carcinoma
hsa_circ_0013912,Pancreatic ductal adenocarcinoma
circRNA-000911,Breast cancer
hsa_circ_0042666,Laryngeal squamous cell carcinoma
hsa_circ_0000700,Esophageal squamous cell carcinoma
hsa_circ_0090876,Acute myocardial infarction
CircEPSTI1,Non-small cell lung cancer
hsa_circ_0007203,Esophageal squamous cell carcinoma
hsa_circ_0000064,Lung cancer
hsa_circ_0032462,Osteosarcoma
hsa_circ_0005870,Hypertension
circ_ANKMY2,Epilepsy
hsa_circ_0002570,Diabetic retinopathy
hsa_circ_0059354,Laryngeal squamous cell carcinoma
circPDK1,Renal cell carcinoma
hsa_circ_0047924,Uveal melanoma
Circ_0008035,Gastric cancer
hsa_circ_0031594,Renal cell carcinoma
hsa_circ_0003266,Acute kidney injury
hsa_circ_0008792,Osteosarcoma
Circ_0006168,Esophageal squamous cell carcinoma
hsa_circ_0021254,Cervical cancer
circ_0001730,Glioma
circ-0001785,Osteosarcoma
has-circRNA_0046367,Hepatic steatosis
hsa_circ_0091570,Hepatocellular carcinoma
hsa_circ_0001098,Breast cancer
hsa_circ_0004619,Breast cancer
CircNEIL3,Pancreatic ductal adenocarcinoma
hsa_circ_0007294,Triple negative breast cancer
hsa_circ_0003998,Non-small cell lung cancer
hsa_circ_0074027,Glioma
circ-PTEN,Non-small cell lung cancer
hsa_circ_0006323,Coronary artery disease
hsa_circ_0077736,Gastric cancer
hsa_circ_0001982,Breast cancer
hsa_circ_0054537,Coronary artery disease
hsa_circ_0026070,Encephalitis
hsa_circ_0075686,Glioma
circNR3C1,Age-related macular degeneration
circBA9.3,Chronic myeloid leukemia
hsa_circ_0000799,Bladder cancer
circHIAT1,Hepatocellular carcinoma
Circ_PGPEP1,Gastric cancer
hsa_circ_0003855,Gastric cancer
hsa_circ_0017252,Clear cell renal cell carcinoma
hsa_circ_0100338,Ischemia reperfusion injury
circRNA‑CER,Breast cancer
hsa_circ_0035563,Parathyroid carcinoma
hsa_circ_0032970,Coronary artery disease
hsa_circ_0079993,Colorectal cancer
circRNA_001275,Esophageal cancer
circKMT2D,Osteosarcoma
hsa_circ_0000211,Lung adenocarcinoma
hsa_circ_0001806,Ovarian cancer
circPTGR1,Hepatocellular carcinoma
hsa_circ_0103809,Hepatocellular carcinoma
hsa_circ_0079385,Infantile hemangioma
hsa_circ_0000285,Osteosarcoma
hsa_circ_0007535,Idiopathic pulmonary fibrosis
circ_003251,T2DM with depression
hsa_circ_0000247,Breast cancer
hsa_circ_0000147,Prostate cancer
hsa_circ_0008558,Colorectal cancer
hsa_circ_0006916,Hepatocellular carcinoma
hsa_circ_0006427,Lung adenocarcinoma
Circ_0023028,Laryngeal squamous cell carcinoma
hsa_circ_0088732,Intervertebral disc degeneration
circMMP9,Osteosarcoma
circPVT1,Acute lymphoblastic leukemia
circPRRC2A,Renal cell carcinoma
circ_0085616,Cervical cancer
hsa_circ_0006990,Colorectal cancer
hsa_circ_0072387,Oral squamous cell carcinoma
circEIF4G2,Diabetic nephropathy
circ_SETD2,Breast cancer
hsa_circ_0063526,Gastric cancer
hsa_circ_0007385,Non-small cell lung cancer
hsa_circ_0001900,Colorectal cancer
hsa_circ_0097271,Bladder cancer
circANKIB1,Osteosarcoma
hsa_circ_0006054,Breast cancer
circ_0007444,Gastric cancer
circ_0000502,Osteosarcoma
hsa_circ_0005273,Colorectal cancer
hsa_circ_0000944,Gastric cancer
hsa_circ_0001346,Lung adenocarcinoma
hsa_circ_0008717,Breast cancer
Hsa_circ_0006571,Lung adenocarcinoma
circR-284,Ischemic stroke
hsa_circ_0000495,Head and neck squamous cell carcinoma
hsa_circ_0054660,Intervertebral disc degeneration
circ-Foxo3,Non-small cell lung cancer
CircIL4R,Hepatocellular carcinoma
hsa_circ_32883,Colorectal cancer
CircUSP36,Atherosclerosis
hsa_circ_0103552,Breast cancer
hsa_circ_0005239,Triple negative breast cancer
hsa_circ_0079891,Papillary thyroid carcinoma
hsa_circ_0064557,Papillary thyroid carcinoma
circ-SHKBP1,Glioma
hsa_circ_0008039,Breast cancer
hsa_circ_0104345,Breast cancer
circRNA_000684,Pancreatic ductal adenocarcinoma
circEXOC7,Renal cell carcinoma
circ_C16orf62,Gastric cancer
hsa_circ_0000657,Gastric cancer
hsa_circ_0074026,Glioma
hsa_circ_0030586,Prostate cancer
hsa_circ_0001772,Gastric cancer
hsa_circ_0008975,Non-small cell lung cancer
cirRNA_0074027,Colorectal cancer
hsa_circ_0012384,Non-small cell lung cancer
circRNA_101505,Hepatocellular carcinoma
CircFAT1,Cervical cancer
hsa_circ_0002346,Nasopharyngeal carcinoma
hsa_circ_0002402,Osteosarcoma
CircLRRK1,Preeclampsia
hsa_circ_100242,Bladder cancer
Circ_GRN,Atherosclerosis
hsa_circ_0018069,Bladder cancer
hsa_circ_0074854,Hepatocellular carcinoma
hsa_circ_0005567,Osteoarthritis
circRPMS1,Nasopharyngeal carcinoma
circ-MYBL2,Multiple myeloma
